Training Log for All Configurations
Epoch 27: Loss = 0.0016
Epoch 28: Loss = 0.0051
Epoch 29: Loss = 0.0023
Epoch 30: Loss = 0.0048
Epoch 31: Loss = 0.0024
Epoch 32: Loss = 0.0023
Epoch 33: Loss = 0.0143
Epoch 34: Loss = 0.0024
Epoch 35: Loss = 0.0110
Epoch 36: Loss = 0.0049
Epoch 37: Loss = 0.0087
Epoch 38: Loss = 0.0096
Epoch 39: Loss = 0.0138
Epoch 40: Loss = 0.0031
Epoch 41: Loss = 0.0055
Epoch 42: Loss = 0.0031
Epoch 43: Loss = 0.0149
Epoch 44: Loss = 0.0089
Epoch 45: Loss = 0.0018
Epoch 46: Loss = 0.0157
Epoch 47: Loss = 0.0144
Epoch 48: Loss = 0.0063
Epoch 49: Loss = 0.0060
Epoch 50: Loss = 0.0029
Epoch 51: Loss = 0.0152
Epoch 52: Loss = 0.0082
Epoch 53: Loss = 0.0027
Epoch 54: Loss = 0.0028
Epoch 55: Loss = 0.0182
Epoch 56: Loss = 0.0046
Epoch 57: Loss = 0.0047
Epoch 58: Loss = 0.0034
Epoch 59: Loss = 0.0087
Epoch 60: Loss = 0.0089
Epoch 61: Loss = 0.0026
Epoch 62: Loss = 0.0027
Epoch 63: Loss = 0.0090
Epoch 64: Loss = 0.0061
Epoch 65: Loss = 0.0011
Epoch 66: Loss = 0.0157
Epoch 67: Loss = 0.0062
Epoch 68: Loss = 0.0005
Epoch 69: Loss = 0.0037
Epoch 70: Loss = 0.0062
Epoch 71: Loss = 0.0034
Epoch 72: Loss = 0.0183
Epoch 73: Loss = 0.0084
Epoch 74: Loss = 0.0036
Epoch 75: Loss = 0.0035
Epoch 76: Loss = 0.0010
Epoch 77: Loss = 0.0062
Epoch 78: Loss = 0.0144
Epoch 79: Loss = 0.0139
Epoch 80: Loss = 0.0036
Epoch 81: Loss = 0.0051
Epoch 82: Loss = 0.0010
Epoch 83: Loss = 0.0152
Epoch 84: Loss = 0.0050
Epoch 85: Loss = 0.0144
Epoch 86: Loss = 0.0062
Epoch 87: Loss = 0.0067
Epoch 88: Loss = 0.0103
Epoch 89: Loss = 0.0116
Epoch 90: Loss = 0.0073
Epoch 91: Loss = 0.0040
Epoch 92: Loss = 0.0059
Epoch 93: Loss = 0.0116
Epoch 94: Loss = 0.0016
Epoch 95: Loss = 0.0106
Epoch 96: Loss = 0.0126
Epoch 97: Loss = 0.0136
Epoch 98: Loss = 0.0034
Epoch 99: Loss = 0.0128
Epoch 100: Loss = 0.0014
Epoch 101: Loss = 0.0022
Epoch 102: Loss = 0.0024
Epoch 103: Loss = 0.0100
Epoch 104: Loss = 0.0031
Epoch 105: Loss = 0.0071
Epoch 106: Loss = 0.0095
Epoch 107: Loss = 0.0022
Epoch 108: Loss = 0.0143
Epoch 109: Loss = 0.0018
Epoch 110: Loss = 0.0096
Epoch 111: Loss = 0.0070
Epoch 112: Loss = 0.0156
Epoch 113: Loss = 0.0040
Epoch 114: Loss = 0.0128
Epoch 115: Loss = 0.0118
Epoch 116: Loss = 0.0058
Epoch 117: Loss = 0.0060
Epoch 118: Loss = 0.0087
Epoch 119: Loss = 0.0172
Epoch 120: Loss = 0.0169
Epoch 121: Loss = 0.0039
Epoch 122: Loss = 0.0032
Epoch 123: Loss = 0.0086
Epoch 124: Loss = 0.0014
Epoch 125: Loss = 0.0117
Epoch 126: Loss = 0.0114
Epoch 127: Loss = 0.0098
Epoch 128: Loss = 0.0083
Epoch 129: Loss = 0.0098
Epoch 130: Loss = 0.0154
Epoch 131: Loss = 0.0012
Epoch 132: Loss = 0.0121
Epoch 133: Loss = 0.0009
Epoch 134: Loss = 0.0007
Epoch 135: Loss = 0.0096
Epoch 136: Loss = 0.0040
Epoch 137: Loss = 0.0087
Epoch 138: Loss = 0.0104
Epoch 139: Loss = 0.0029
Epoch 140: Loss = 0.0011
Epoch 141: Loss = 0.0089
Epoch 142: Loss = 0.0043
Epoch 143: Loss = 0.0062
Epoch 144: Loss = 0.0020
Epoch 145: Loss = 0.0123
Epoch 146: Loss = 0.0033
Epoch 147: Loss = 0.0039
Epoch 148: Loss = 0.0103
Epoch 149: Loss = 0.0126
Epoch 150: Loss = 0.0073
Final Loss: 0.0073
Training Time: 1.93 seconds
----------------------------------------
